age;mp;fg;fga;fgp;three;threeatt;threep;ft;fta;ftp;orb;drb;trb;ast;stl;blk;tov;pts;game_score;player
30-054;27:55:00;7;17;.412;1;6;.167;3;5;.600;0;7;7;7;2;0;4;18;12.3;1
30-056;39:03:00;6;14;.429;1;5;.200;6;10;.600;0;7;7;11;3;1;9;19;13.3;1
30-058;36:12:00;15;25;.600;4;9;.444;8;11;.727;1;10;11;5;3;1;6;42;32.2;1
30-061;42:06:00;15;35;.429;4;12;.333;3;11;.273;2;6;8;4;3;3;4;37;20.8;1
30-063;25:35:00;12;23;.522;0;1;.000;3;3;1.000;1;2;3;5;3;1;1;27;23.2;1
30-064;37:27:00;9;16;.563;3;6;.500;8;13;.615;1;5;6;14;0;0;3;29;27.6;1
30-066;40:09:00;5;13;.385;1;4;.250;7;8;.875;1;5;6;8;2;1;9;18;10.8;1
30-067;36:26:00;6;16;.375;2;5;.400;3;6;.500;0;6;6;8;1;0;4;17;10.2;1
30-070;28:58:00;10;14;.714;4;6;.667;3;5;.600;0;7;7;8;1;1;2;27;26.6;1
30-072;43:43:00;10;20;.500;3;6;.500;8;10;.800;0;5;5;7;2;1;3;31;25.5;1
30-075;34:44:00;9;14;.643;0;3;.000;3;4;.750;1;7;8;13;3;1;1;21;27.8;1
30-076;35:16:00;8;19;.421;4;8;.500;6;8;.750;1;1;2;4;0;0;4;26;14.1;1
30-078;34:35:00;5;13;.385;2;4;.500;4;6;.667;1;2;3;7;1;0;2;16;12.9;1
30-080;39:18:00;13;26;.500;2;6;.333;1;2;.500;0;7;7;5;0;0;3;29;18.2;1
30-082;39:28:00;10;17;.588;1;4;.250;7;7;1.000;2;8;10;6;5;1;5;28;28.4;1
30-085;31:27:00;7;15;.467;3;5;.600;3;4;.750;0;8;8;5;0;0;1;20;16.0;1
30-087;38:28:00;8;15;.533;2;5;.400;6;8;.750;0;5;5;9;5;1;3;24;24.8;1
30-089;37:53:00;8;24;.333;1;4;.250;3;6;.500;2;9;11;6;0;1;5;20;9.2;1
30-093;35:27:00;9;16;.563;1;2;.500;4;5;.800;1;7;8;7;1;3;3;23;21.6;1
30-096;36:31:00;8;17;.471;1;3;.333;3;6;.500;2;8;10;12;3;1;3;20;21.4;1
30-099;39:51:00;8;15;.533;2;5;.400;3;4;.750;2;7;9;8;1;1;2;21;21.3;1
30-101;26:05:00;5;14;.357;0;5;.000;4;9;.444;0;3;3;7;1;0;3;14;7.6;1
30-104;32:14:00;7;17;.412;3;4;.750;4;6;.667;3;7;10;11;2;1;1;21;24.7;1
30-301;36:04:00;12;22;.545;1;5;.200;0;3;.000;0;10;10;5;1;0;1;25;18.5;1
