age;mp;fg;fga;fgp;three;threeatt;threep;ft;fta;ftp;orb;drb;trb;ast;stl;blk;tov;pts;game_score;player
21-252;40:00:00;5;16;.313;0;0;;6;7;.857;1;5;6;7;2;4;5;16;12.5;0
21-253;34:00:00;8;13;.615;0;0;;5;5;1.000;3;2;5;5;2;1;3;21;19.4;0
21-255;34:00:00;13;24;.542;0;0;;11;13;.846;2;2;4;5;6;2;3;37;32.9;0
21-256;36:00:00;8;21;.381;0;0;;9;9;1.000;2;2;4;5;3;1;6;25;14.7;0
21-258;33:00:00;7;15;.467;0;0;;3;4;.750;3;2;5;5;1;1;2;17;13.2;0
21-264;27:00:00;9;19;.474;0;0;;7;9;.778;1;3;4;3;3;1;5;25;14.9;0
21-265;33:00:00;15;22;.682;0;0;;3;4;.750;4;4;8;5;3;2;5;33;29.3;0
21-267;42:00:00;9;22;.409;0;0;;9;12;.750;2;7;9;4;2;5;3;27;21.2;0
21-270;43:00:00;18;27;.667;1;1;1.000;8;11;.727;2;8;10;4;3;2;4;45;37.5;0
21-272;33:00:00;12;24;.500;0;1;.000;3;3;1.000;0;2;2;2;2;1;1;27;17.1;0
21-274;44:00:00;4;17;.235;0;0;;8;8;1.000;0;5;5;7;5;2;4;16;12.5;0
21-276;39:00:00;11;26;.423;0;3;.000;12;16;.750;2;3;5;2;2;1;3;34;20.8;0
21-278;42:00:00;11;22;.500;0;0;;13;14;.929;4;9;13;2;2;2;6;35;26.7;0
21-280;30:00:00;9;13;.692;0;0;;5;6;.833;0;4;4;3;4;1;4;23;19.5;0
21-281;41:00:00;10;24;.417;0;1;.000;10;10;1.000;3;3;6;8;3;1;4;30;23.9;0
21-284;24:00:00;6;10;.600;0;0;;1;1;1.000;0;2;2;3;3;2;4;13;11.1;0
21-286;30:00:00;9;17;.529;1;1;1.000;3;4;.750;1;2;3;2;2;0;2;22;14.0;0
21-287;37:00:00;9;15;.600;0;0;;2;4;.500;2;3;5;5;3;0;4;20;15.5;0
21-289;42:00:00;7;13;.538;0;0;;6;8;.750;2;0;2;3;1;1;4;20;12.9;0
21-291;35:00:00;7;13;.538;0;0;;6;6;1.000;1;2;3;6;1;0;3;20;16.0;0
21-294;43:00:00;8;16;.500;0;1;.000;5;7;.714;1;1;2;3;2;0;6;21;9.3;0
21-295;35:00:00;10;23;.435;0;0;;0;0;;4;3;7;2;0;2;2;20;11.2;0
21-298;37:00:00;13;28;.464;0;1;.000;1;3;.333;1;7;8;6;2;0;3;27;16.2;0
21-299;30:00:00;6;17;.353;0;2;.000;9;10;.900;0;1;1;2;2;1;1;21;12.5;0
21-301;44:00:00;12;25;.480;0;0;;10;10;1.000;2;6;8;8;1;0;0;34;29.5;0
21-302;27:00:00;7;16;.438;0;0;;0;0;;1;1;2;2;1;0;1;14;7.2;0
21-305;45:00:00;8;20;.400;0;1;.000;2;4;.500;1;2;3;8;3;0;1;18;14.5;0
21-307;41:00:00;12;22;.545;0;0;;10;16;.625;4;4;8;7;5;1;7;34;26.6;0
21-309;35:00:00;12;18;.667;0;0;;8;8;1.000;1;11;12;8;0;3;3;32;31.7;0
21-314;44:00:00;20;33;.606;0;1;.000;5;5;1.000;2;5;7;11;3;0;3;45;40.1;0
21-316;39:00:00;7;18;.389;0;0;;7;9;.778;1;3;4;5;0;0;3;21;10.1;0
21-320;34:00:00;10;14;.714;0;0;;5;6;.833;1;6;7;4;3;0;4;25;22.3;0
21-322;38:00:00;9;16;.563;0;1;.000;4;5;.800;0;2;2;6;3;0;0;22;20.2;0
21-323;42:00:00;16;25;.640;0;0;;10;11;.909;4;3;7;4;2;1;3;42;35.5;0
21-327;42:00:00;12;24;.500;0;0;;12;13;.923;4;2;6;6;2;1;4;36;28.3;0
21-329;30:00:00;8;14;.571;0;0;;7;7;1.000;2;4;6;5;2;0;5;23;18.3;0
21-330;36:00:00;10;21;.476;0;1;.000;4;6;.667;4;8;12;3;1;0;3;24;15.8;0
21-332;43:00:00;11;16;.688;0;0;;13;15;.867;2;12;14;15;3;1;6;35;39.4;0
21-334;44:00:00;8;17;.471;0;1;.000;11;12;.917;1;6;7;7;2;0;6;27;20.1;0
21-335;40:00:00;8;20;.400;0;0;;9;12;.750;0;4;4;6;2;2;3;25;17.2;0
21-337;41:00:00;15;27;.556;2;4;.500;6;8;.750;2;10;12;7;3;2;2;38;34.0;0
21-340;39:00:00;11;20;.550;0;1;.000;7;7;1.000;1;11;12;5;2;0;4;29;23.3;0
21-343;37:00:00;6;15;.400;0;1;.000;10;10;1.000;2;2;4;8;4;2;1;22;24.7;0
21-344;43:00:00;17;24;.708;0;0;;11;11;1.000;1;7;8;10;0;4;5;45;41.4;0
21-347;38:00:00;11;17;.647;0;0;;4;6;.667;0;7;7;7;3;0;1;26;25.5;0
21-348;41:00:00;12;19;.632;0;0;;14;15;.933;0;7;7;8;4;0;4;38;35.6;0
21-350;37:00:00;9;16;.563;0;2;.000;13;14;.929;0;6;6;5;2;0;3;31;25.3;0
21-354;45:00:00;14;25;.560;0;1;.000;13;14;.929;4;8;12;7;4;1;1;41;40.1;0
21-356;38:00:00;8;17;.471;0;0;;7;8;.875;3;1;4;7;4;0;7;23;15.8;0
21-361;45:00:00;19;31;.613;0;0;;11;13;.846;7;8;15;5;4;0;6;49;40.9;0
21-364;37:00:00;8;20;.400;0;1;.000;1;2;.500;1;6;7;6;0;2;4;17;9.5;0
22-000;34:00:00;9;15;.600;0;0;;8;8;1.000;2;1;3;3;2;1;5;26;20.2;0
22-002;30:00:00;6;13;.462;0;2;.000;4;5;.800;4;2;6;8;0;0;3;16;12.9;0
22-005;42:00:00;8;18;.444;0;0;;10;12;.833;1;3;4;7;3;0;3;26;21.1;0
22-006;32:00:00;15;20;.750;0;0;;8;8;1.000;1;4;5;5;3;0;0;38;36.8;0
22-009;48:00:00;12;27;.444;0;1;.000;4;4;1.000;3;6;9;5;0;0;1;28;18.7;0
22-010;35:00:00;8;17;.471;0;1;.000;8;9;.889;1;5;6;2;4;1;4;24;18.0;0
22-012;38:00:00;6;15;.400;0;0;;9;12;.750;2;8;10;10;3;0;7;21;17.7;0
22-014;41:00:00;13;21;.619;0;0;;11;12;.917;6;8;14;5;3;1;3;37;37.1;0
22-016;44:00:00;12;23;.522;0;0;;13;17;.765;2;7;9;8;2;1;2;37;32.7;0
22-017;42:00:00;13;28;.464;0;0;;7;7;1.000;2;5;7;3;5;2;5;33;24.2;0
22-019;28:00:00;7;13;.538;1;2;.500;11;14;.786;2;6;8;7;0;1;1;26;25.1;0
22-020;38:00:00;9;21;.429;1;1;1.000;9;16;.563;2;4;6;4;5;0;6;28;16.5;0
22-022;34:00:00;6;14;.429;0;0;;9;10;.900;1;3;4;4;0;0;4;21;12.8;0
22-023;39:00:00;11;24;.458;0;1;.000;10;11;.909;3;5;8;4;1;0;5;32;20.8;0
22-025;34:00:00;5;18;.278;0;0;;6;11;.545;1;2;3;8;1;0;1;16;9.1;0
22-026;42:00:00;11;15;.733;0;0;;5;6;.833;1;8;9;14;2;2;6;27;29.6;0
22-028;48:00:00;11;25;.440;0;3;.000;10;13;.769;6;5;11;16;1;1;3;32;31.3;0
22-030;42:00:00;11;22;.500;0;0;;9;10;.900;2;2;4;7;2;1;7;31;21.0;0
22-031;43:00:00;14;23;.609;0;1;.000;10;12;.833;3;4;7;4;3;0;2;38;31.8;0
22-034;43:00:00;5;17;.294;0;0;;10;10;1.000;3;6;9;10;2;1;1;20;22.3;0
22-035;35:00:00;9;24;.375;0;0;;8;11;.727;3;6;9;6;4;2;3;26;21.3;0
22-037;40:00:00;13;24;.542;0;1;.000;12;13;.923;4;5;9;5;3;0;3;38;31.8;0
22-039;41:00:00;11;25;.440;1;3;.333;12;14;.857;4;4;8;10;2;0;2;35;30.5;0
22-041;42:00:00;13;19;.684;1;1;1.000;11;13;.846;2;3;5;6;1;0;3;38;33.2;0
22-044;44:00:00;12;19;.632;0;0;;7;8;.875;5;3;8;9;3;0;7;31;28.4;0
22-045;40:00:00;12;19;.632;0;1;.000;1;3;.333;1;5;6;3;4;0;2;25;20.0;0
22-047;38:00:00;13;21;.619;0;1;.000;14;15;.933;0;1;1;5;3;0;2;40;32.5;0
22-048;43:00:00;12;18;.667;0;0;;9;9;1.000;2;5;7;4;3;2;7;33;26.7;0
22-050;39:00:00;6;20;.300;0;1;.000;10;14;.714;2;6;8;5;3;0;5;22;12.7;0
22-054;36:00:00;11;16;.688;0;1;.000;6;7;.857;2;1;3;6;5;0;7;28;23.5;0
22-055;40:00:00;9;24;.375;1;5;.200;10;11;.909;2;0;2;9;1;0;4;29;18.9;0
22-250;39:00:00;13;26;.500;0;0;;3;4;.750;3;3;6;3;3;0;3;29;18.7;0
22-251;41:00:00;9;24;.375;0;0;;15;16;.938;2;5;7;6;2;3;6;33;22.6;0
22-254;18:00;6;10;.600;0;0;;0;0;;0;2;2;2;0;0;1;12;8.0;0
23-026;13:00;4;7;.571;0;0;;4;7;.571;0;1;1;2;1;0;1;12;8.4;0
23-028;14:00;4;16;.250;0;1;.000;9;10;.900;3;1;4;1;7;1;1;17;16.8;0
23-030;15:00;4;14;.286;0;2;.000;4;6;.667;4;0;4;3;2;2;1;12;9.9;0
23-032;16:00;7;16;.438;0;1;.000;6;7;.857;2;0;2;1;0;1;1;20;11.8;0
23-033;16:00;4;13;.308;0;0;;0;1;.000;1;0;1;1;0;0;1;8;-0.3;0
23-036;19:00;5;12;.417;0;1;.000;9;9;1.000;1;2;3;3;1;0;2;19;13.8;0
23-039;22:00;9;15;.600;0;0;;4;6;.667;0;1;1;3;5;0;3;22;17.1;0
23-040;23:00;10;17;.588;0;1;.000;4;6;.667;1;0;1;1;1;3;4;24;15.0;0
23-043;26:00:00;8;16;.500;0;1;.000;12;12;1.000;1;4;5;2;1;3;1;28;24.6;0
23-045;28:00:00;12;19;.632;0;0;;2;4;.500;1;4;5;3;3;2;3;26;21.7;0
23-047;31:00:00;10;21;.476;2;3;.667;8;9;.889;1;2;3;3;1;1;4;30;19.6;0
23-049;31:00:00;10;18;.556;1;3;.333;5;5;1.000;1;4;5;7;1;3;2;26;24.1;0
23-050;33:00:00;12;25;.480;0;2;.000;6;6;1.000;1;5;6;6;2;1;7;30;18.6;0
23-053;37:00:00;12;36;.333;0;1;.000;7;10;.700;1;4;5;2;3;1;2;31;12.4;0
23-055;29:00:00;11;23;.478;0;2;.000;7;7;1.000;0;3;3;4;4;0;2;29;21.4;0
23-257;41:00:00;15;31;.484;0;0;;20;22;.909;2;4;6;3;4;3;6;50;37.5;0
23-258;39:00:00;16;31;.516;0;0;;9;12;.750;6;2;8;2;0;4;3;41;29.3;0
23-260;44:00:00;14;31;.452;0;1;.000;6;13;.462;3;5;8;5;4;2;6;34;20.8;0
23-263;42:00:00;11;26;.423;0;1;.000;11;15;.733;0;0;0;5;1;1;3;33;18.2;0
23-264;39:00:00;17;27;.630;0;0;;5;5;1.000;3;3;6;3;5;0;3;39;33.2;0
23-267;39:00:00;14;32;.438;0;0;;6;6;1.000;4;1;5;3;1;3;5;34;18.9;0
23-268;39:00:00;9;25;.360;0;1;.000;10;12;.833;0;4;4;4;3;1;4;28;15.4;0
23-270;41:00:00;17;33;.515;1;1;1.000;13;14;.929;2;3;5;1;2;1;0;48;35.8;0
23-277;40:00:00;14;26;.538;0;0;;12;15;.800;1;5;6;4;3;2;2;40;32.8;0
23-278;39:00:00;10;26;.385;0;0;;2;3;.667;2;7;9;4;3;1;3;22;13.2;0
23-282;41:00:00;13;31;.419;0;0;;11;14;.786;2;7;9;3;1;3;2;37;24.0;0
23-284;45:00:00;19;43;.442;0;1;.000;3;4;.750;8;2;10;3;1;1;3;41;23.5;0
23-285;42:00:00;11;30;.367;0;1;.000;18;19;.947;3;2;5;6;4;0;2;40;30.7;0
23-288;48:00:00;13;30;.433;0;0;;14;15;.933;5;4;9;6;3;6;4;40;34.7;0
23-289;40:00:00;17;33;.515;0;2;.000;11;13;.846;0;3;3;3;6;1;2;45;34.4;0
23-291;41:00:00;15;37;.405;0;0;;13;17;.765;2;2;4;2;3;1;1;43;27.2;0
23-292;44:00:00;18;38;.474;0;2;.000;7;7;1.000;5;0;5;3;1;1;2;43;27.3;0
23-295;42:00:00;16;30;.533;0;0;;8;9;.889;2;4;6;6;3;4;3;40;33.4;0
23-296;39:00:00;15;25;.600;0;0;;11;12;.917;2;2;4;4;3;0;3;41;32.7;0
23-298;39:00:00;16;24;.667;0;0;;9;11;.818;0;5;5;3;2;0;2;41;31.4;0
23-299;31:00:00;3;17;.176;0;0;;5;8;.625;0;4;4;2;0;1;2;11;-0.4;0
23-302;37:00:00;13;29;.448;0;1;.000;15;18;.833;2;3;5;1;0;0;4;41;21.7;0
23-304;39:00:00;15;27;.556;0;0;;11;12;.917;2;1;3;6;0;1;2;41;31.5;0
23-306;38:00:00;10;26;.385;0;0;;7;8;.875;0;4;4;7;2;4;5;27;17.1;0
23-309;35:00:00;18;33;.545;0;1;.000;7;7;1.000;4;1;5;6;2;0;3;43;32.6;0
23-311;41:00:00;10;28;.357;0;0;;10;12;.833;1;2;3;5;6;2;6;30;19.4;0
23-313;36:00:00;20;29;.690;0;0;;4;4;1.000;2;2;4;3;0;2;4;44;32.8;0
23-316;40:00:00;12;27;.444;2;3;.667;5;7;.714;1;4;5;3;4;0;2;31;20.5;0
23-319;40:00:00;13;31;.419;0;1;.000;8;10;.800;6;2;8;3;1;0;2;34;21.8;0
23-320;38:00:00;16;35;.457;0;2;.000;15;17;.882;1;3;4;2;1;0;1;47;29.5;0
23-323;38:00:00;13;23;.565;0;0;;1;3;.333;0;2;2;3;2;0;3;27;15.0;0
23-325;43:00:00;20;34;.588;0;0;;13;16;.813;3;1;4;5;3;2;3;53;42.1;0
23-327;36:00:00;8;24;.333;0;0;;15;15;1.000;1;6;7;5;2;1;4;31;20.9;0
23-332;43:00:00;17;43;.395;1;4;.250;8;9;.889;1;2;3;3;2;1;2;43;22.6;0
23-334;44:00:00;17;34;.500;0;0;;13;14;.929;5;5;10;6;4;1;4;47;38.7;0
23-336;41:00:00;11;25;.440;1;1;1.000;9;11;.818;4;2;6;3;0;0;5;32;16.6;0
23-337;39:00:00;11;22;.500;0;0;;9;10;.900;2;5;7;2;2;1;3;31;22.8;0
23-340;37:00:00;14;28;.500;1;1;1.000;6;6;1.000;1;1;2;2;3;0;3;35;23.0;0
23-341;27:00:00;11;20;.550;0;0;;5;6;.833;0;0;0;1;1;0;1;27;16.1;0
23-344;40:00:00;13;34;.382;0;2;.000;4;6;.667;1;4;5;6;2;0;5;30;12.9;0
23-345;37:00:00;11;23;.478;0;2;.000;5;8;.625;1;3;4;4;1;1;6;27;13.0;0
23-347;41:00:00;19;35;.543;0;4;.000;11;12;.917;1;1;2;5;3;2;4;49;35.0;0
23-349;44:00:00;14;39;.359;1;5;.200;9;9;1.000;4;1;5;5;5;0;2;38;23.9;0
23-351;43:00:00;12;28;.429;0;1;.000;8;9;.889;3;3;6;6;0;2;5;32;19.2;0
23-353;44:00:00;12;24;.500;0;0;;12;13;.923;2;5;7;5;2;2;3;36;29.6;0
23-358;41:00:00;11;22;.500;0;0;;7;9;.778;2;1;3;4;3;1;4;29;19.8;0
23-361;41:00:00;14;28;.500;0;0;;17;19;.895;0;3;3;6;2;2;1;45;36.5;0
23-362;37:00:00;15;24;.625;0;1;.000;3;5;.600;0;2;2;8;3;3;2;33;29.9;0
23-364;48:00:00;13;30;.433;0;1;.000;17;18;.944;1;6;7;6;5;4;7;43;32.3;0
24-003;40:00:00;11;27;.407;0;0;;11;12;.917;2;0;2;5;5;2;2;33;25.8;0
24-005;39:00:00;16;29;.552;0;0;;11;15;.733;2;2;4;6;8;5;4;43;40.8;0
24-007;42:00:00;10;22;.455;0;0;;14;18;.778;3;9;12;2;5;5;2;34;32.5;0
24-009;37:00:00;16;25;.640;0;0;;26;27;.963;1;7;8;3;3;2;3;58;51.2;0
24-011;38:00:00;11;28;.393;0;1;.000;15;17;.882;3;3;6;2;3;1;3;37;24.5;0
24-012;39:00:00;10;23;.435;0;1;.000;10;12;.833;3;1;4;4;3;2;7;30;18.1;0
24-014;28:00:00;11;17;.647;0;0;;8;9;.889;0;3;3;8;3;2;2;30;30.6;0
24-015;43:00:00;22;39;.564;0;0;;17;18;.944;3;4;7;3;3;3;5;61;47.6;0
24-017;39:00:00;10;24;.417;0;0;;7;9;.778;3;5;8;5;8;3;4;27;25.8;0
24-019;44:00:00;11;28;.393;0;1;.000;11;12;.917;3;3;6;4;5;3;1;33;28.5;0
24-020;42:00:00;12;26;.462;0;1;.000;7;10;.700;2;5;7;8;3;1;3;31;24.8;0
24-022;44:00:00;19;34;.559;1;1;1.000;10;11;.909;4;4;8;7;2;4;6;49;38.5;0
24-024;36:00:00;7;22;.318;0;0;;10;13;.769;1;3;4;3;0;0;2;24;11.1;0
24-025;47:00:00;5;20;.250;0;0;;3;3;1.000;1;6;7;8;4;2;7;13;7.5;0
24-027;43:00:00;15;28;.536;0;1;.000;14;14;1.000;1;3;4;5;4;0;4;44;33.5;0
24-028;42:00:00;7;21;.333;1;2;.500;6;7;.857;0;3;3;9;0;0;3;21;11.7;0
24-030;41:00:00;14;23;.609;1;1;1.000;11;11;1.000;3;4;7;3;2;4;2;40;36.1;0
24-032;44:00:00;13;25;.520;0;1;.000;14;15;.933;1;2;3;5;4;0;7;40;28.3;0
24-033;43:00:00;14;26;.538;0;2;.000;18;20;.900;0;1;1;6;4;0;7;46;32.9;0
24-035;44:00:00;22;32;.688;0;1;.000;12;15;.800;1;6;7;3;8;0;7;56;46.0;0
24-037;43:00:00;14;30;.467;0;0;;12;14;.857;1;5;6;7;4;1;4;40;31.2;0
24-038;40:00:00;9;23;.391;0;0;;4;5;.800;3;4;7;7;7;1;3;22;20.8;0
24-040;40:00:00;13;24;.542;0;2;.000;7;9;.778;0;1;1;8;4;1;1;33;29.0;0
24-042;34:00:00;12;18;.667;0;0;;12;14;.857;0;3;3;4;3;1;4;36;30.0;0
24-043;41:00:00;10;25;.400;1;3;.333;5;6;.833;2;7;9;7;5;3;3;26;22.6;0
24-045;45:00:00;13;22;.591;1;2;.500;5;5;1.000;1;1;2;7;2;1;4;32;24.8;0
24-046;35:00:00;9;24;.375;0;1;.000;13;13;1.000;5;1;6;7;1;0;1;31;25.3;0
24-049;26:00:00;13;21;.619;0;0;;13;16;.813;2;3;5;4;4;1;3;39;35.1;0
24-052;50:00:00;11;31;.355;0;1;.000;12;15;.800;3;3;6;10;3;1;3;34;25.0;0
24-054;42:00:00;19;27;.704;0;0;;15;18;.833;2;2;4;8;4;2;3;53;49.7;0
24-055;41:00:00;16;31;.516;0;1;.000;18;22;.818;1;8;9;4;4;3;1;50;42.1;0
24-058;41:00:00;22;38;.579;0;3;.000;17;21;.810;5;5;10;1;4;1;3;61;47.8;0
24-059;25:00:00;5;15;.333;0;0;;7;7;1.000;1;3;4;8;0;2;1;17;15.3;0
24-263;38:00:00;15;25;.600;0;0;;6;10;.600;2;3;5;3;6;4;2;36;32.9;0
24-266;42:00:00;11;23;.478;1;3;.333;6;9;.667;0;6;6;7;1;1;3;29;20.3;0
24-267;40:00:00;10;20;.500;0;1;.000;11;13;.846;1;2;3;4;2;0;5;31;19.7;0
24-269;35:00:00;10;19;.526;0;0;;16;17;.941;3;4;7;5;6;1;3;36;36.4;0
24-270;40:00:00;14;29;.483;0;0;;9;11;.818;3;2;5;5;4;1;3;37;28.2;0
24-273;36:00:00;10;18;.556;0;0;;6;6;1.000;0;3;3;7;2;1;3;26;21.7;0
24-274;40:00:00;9;21;.429;0;1;.000;12;12;1.000;1;2;3;8;3;1;2;30;26.3;0
24-276;40:00:00;10;22;.455;0;0;;13;14;.929;0;7;7;7;4;4;2;33;31.8;0
24-277;44:00:00;17;38;.447;0;2;.000;15;17;.882;2;4;6;8;6;1;4;49;36.9;0
24-279;41:00:00;12;26;.462;0;0;;7;10;.700;4;6;10;3;4;0;5;31;20.1;0
24-281;39:00:00;13;24;.542;0;1;.000;7;8;.875;1;2;3;6;3;1;1;33;27.2;0
24-283;45:00:00;8;20;.400;0;1;.000;9;9;1.000;1;5;6;9;3;1;3;25;22.6;0
24-284;41:00:00;12;22;.545;0;1;.000;10;10;1.000;3;4;7;6;4;2;7;34;27.7;0
24-287;40:00:00;6;15;.400;0;0;;4;6;.667;0;6;6;9;3;1;3;16;15.1;0
24-288;39:00:00;17;27;.630;0;0;;13;16;.813;2;2;4;9;3;3;2;47;43.5;0
24-290;35:00:00;9;15;.600;1;1;1.000;4;5;.800;1;3;4;5;4;0;4;23;19.2;0
24-291;40:00:00;15;22;.682;0;2;.000;10;12;.833;1;1;2;8;1;0;6;40;30.2;0
24-294;42:00:00;14;26;.538;0;1;.000;5;6;.833;1;4;5;10;3;3;7;33;25.4;0
24-296;40:00:00;11;18;.611;0;0;;10;11;.909;1;6;7;4;3;1;3;32;28.6;0
24-298;40:00:00;16;28;.571;0;0;;12;12;1.000;0;3;3;9;5;5;3;44;42.3;0
24-301;50:00:00;12;26;.462;1;2;.500;13;16;.813;3;5;8;12;3;1;2;38;34.7;0
24-303;41:00:00;20;31;.645;0;0;;12;12;1.000;0;3;3;6;4;1;2;52;45.3;0
24-305;43:00:00;12;23;.522;0;0;;6;8;.750;0;2;2;7;3;2;2;30;24.6;0
24-308;41:00:00;11;20;.550;0;1;.000;6;7;.857;4;2;6;7;4;2;4;28;26.1;0
24-309;39:00:00;5;15;.333;0;0;;6;9;.667;1;4;5;2;3;0;2;16;9.4;0
24-312;34:00:00;6;22;.273;0;0;;5;6;.833;2;4;6;6;0;2;5;17;5.6;0
24-315;43:00:00;16;37;.432;0;2;.000;7;9;.778;6;2;8;6;5;0;2;39;28.7;0
24-319;37:00:00;9;19;.474;0;0;;7;7;1.000;3;7;10;10;6;3;1;25;32.0;0
24-322;38:00:00;12;20;.600;0;0;;7;8;.875;6;5;11;9;4;5;2;31;36.9;0
24-324;42:00:00;11;22;.500;0;0;;6;11;.545;3;6;9;5;6;4;3;28;27.4;0
24-326;38:00:00;17;23;.739;0;0;;11;14;.786;1;2;3;8;4;0;1;45;43.2;0
24-329;43:00:00;19;35;.543;0;1;.000;4;5;.800;2;2;4;6;3;1;0;42;34.6;0
24-331;45:00:00;12;24;.500;0;1;.000;4;6;.667;3;1;4;7;1;2;4;28;19.7;0
24-333;38:00:00;12;26;.462;0;0;;12;13;.923;4;6;10;10;4;4;3;36;36.4;0
24-335;39:00:00;13;19;.684;0;0;;7;10;.700;0;3;3;7;5;0;2;33;30.9;0
24-336;41:00:00;14;22;.636;0;0;;10;10;1.000;0;3;3;4;3;1;2;38;33.6;0
24-339;38:00:00;17;25;.680;0;0;;8;8;1.000;0;4;4;13;4;4;2;42;45.6;0
24-340;38:00:00;13;19;.684;0;0;;10;13;.769;3;4;7;8;3;1;2;36;35.3;0
24-343;40:00:00;13;26;.500;1;1;1.000;7;10;.700;2;5;7;5;2;1;6;34;20.9;0
24-344;46:00:00;12;21;.571;1;1;1.000;12;12;1.000;2;2;4;7;2;1;2;37;32.7;0
24-346;27:00:00;14;18;.778;0;0;;4;5;.800;0;1;1;4;10;2;3;32;35.7;0
24-347;44:00:00;10;17;.588;0;1;.000;8;8;1.000;1;4;5;4;2;4;5;28;23.4;0
24-349;40:00:00;13;31;.419;0;0;;11;15;.733;0;5;5;3;5;2;4;37;23.3;0
24-350;40:00:00;14;26;.538;0;0;;11;11;1.000;1;1;2;4;3;1;3;39;29.7;0
24-352;37:00:00;14;27;.519;0;1;.000;9;11;.818;1;4;5;8;0;1;0;37;30.7;0
24-357;42:00:00;7;22;.318;0;0;;6;8;.750;1;6;7;9;4;0;2;20;15.8;0
24-358;37:00:00;10;23;.435;0;2;.000;14;15;.933;2;2;4;4;1;3;3;34;25.2;0
24-360;43:00:00;9;19;.474;0;1;.000;9;10;.900;0;6;6;8;0;0;3;27;20.1;0
24-361;40:00:00;9;22;.409;0;1;.000;9;10;.900;0;2;2;2;3;2;4;27;17.2;0
24-363;38:00:00;13;22;.591;0;0;;6;8;.750;3;10;13;8;5;2;2;32;35.3;0
25-002;38:00:00;19;27;.704;0;0;;11;14;.786;2;1;3;3;3;3;5;49;39.6;0
25-004;45:00:00;16;31;.516;0;2;.000;14;15;.933;1;3;4;9;3;1;3;46;37.7;0
25-006;48:00:00;11;29;.379;0;0;;17;20;.850;2;7;9;5;4;2;0;39;32.7;0
25-009;43:00:00;21;34;.618;0;2;.000;10;12;.833;2;6;8;3;2;3;6;52;37.2;0
25-010;44:00:00;16;27;.593;0;0;;6;8;.750;1;1;2;3;3;3;3;38;27.9;0
25-012;46:00:00;13;22;.591;0;0;;9;13;.692;1;4;5;4;2;0;3;35;26.5;0
25-015;41:00:00;15;29;.517;0;0;;6;9;.667;0;10;10;7;3;2;5;36;26.2;0
25-017;27:00:00;9;13;.692;0;0;;3;4;.750;0;6;6;4;4;2;2;21;22.3;0
25-019;44:00:00;12;24;.500;0;2;.000;14;16;.875;1;9;10;3;1;0;4;38;26.1;0
25-022;42:00:00;17;34;.500;0;1;.000;4;4;1.000;5;4;9;7;3;1;2;38;31.5;0
25-024;34:00:00;9;22;.409;0;0;;10;12;.833;3;4;7;6;0;0;2;28;20.1;0
25-027;37:00:00;17;29;.586;0;0;;4;7;.571;4;2;6;1;2;1;2;38;27.3;0
25-028;39:00:00;10;23;.435;0;0;;5;5;1.000;3;1;4;5;0;2;3;25;16.4;0
25-030;42:00:00;19;32;.594;1;2;.500;11;11;1.000;2;3;5;9;5;1;1;50;46.9;0
25-032;39:00:00;10;18;.556;0;0;;6;8;.750;0;4;4;7;1;1;5;26;17.8;0
25-035;42:00:00;20;35;.571;0;1;.000;9;12;.750;5;8;13;2;0;2;0;49;38.4;0
25-037;48:00:00;14;29;.483;0;0;;11;13;.846;2;6;8;7;2;4;3;39;32.2;0
25-038;42:00:00;16;27;.593;0;2;.000;6;9;.667;0;3;3;2;3;4;6;38;25.6;0
25-041;42:00:00;8;17;.471;0;0;;10;12;.833;1;3;4;4;2;2;6;26;17.1;0
25-042;34:00:00;15;25;.600;0;0;;6;6;1.000;2;4;6;4;6;0;2;36;32.7;0
25-044;42:00:00;13;30;.433;1;2;.500;11;13;.846;4;7;11;7;3;0;3;38;29.2;0
25-046;42:00:00;21;27;.778;0;1;.000;17;19;.895;2;2;4;6;2;2;1;59;54.7;0
25-048;42:00:00;12;20;.600;0;1;.000;5;8;.625;1;2;3;1;4;2;6;29;18.4;0
25-049;44:00:00;12;22;.545;0;0;;13;13;1.000;1;5;6;6;3;1;5;37;29.5;0
25-051;43:00:00;13;24;.542;0;0;;14;18;.778;3;3;6;3;8;1;3;40;36.0;0
25-057;38:00:00;12;28;.429;0;2;.000;11;12;.917;2;4;6;3;3;1;2;35;25.0;0
25-058;39:00:00;11;20;.550;0;0;;6;8;.750;0;0;0;4;2;0;3;28;17.4;0
25-060;38:00:00;17;29;.586;0;1;.000;10;14;.714;1;2;3;6;4;3;2;44;36.9;0
25-062;40:00:00;18;27;.667;0;2;.000;11;13;.846;3;2;5;2;2;1;6;47;33.7;0
25-064;41:00:00;17;33;.515;0;2;.000;5;6;.833;3;0;3;8;2;1;4;39;26.7;0
25-065;42:00:00;12;26;.462;0;0;;2;2;1.000;1;0;1;7;4;1;2;26;18.9;0
25-067;44:00:00;16;25;.640;0;1;.000;14;15;.933;0;6;6;6;1;1;3;46;38.0;0
25-261;43:00:00;10;19;.526;0;2;.000;8;12;.667;1;4;5;7;5;2;2;28;26.3;0
25-262;39:00:00;9;21;.429;0;0;;11;12;.917;0;2;2;7;3;0;5;29;19.4;0
25-265;39:00:00;13;21;.619;2;3;.667;3;3;1.000;2;1;3;9;2;0;4;31;25.5;0
